,,{uniform;explicit;math},
asset,rep_period,specification,partition
NL_E_Balance,1,uniform,2
NL_E_Demand,1,uniform,2
NL_E_ENS,1,uniform,2
NL_Wind_Onshore,1,uniform,2
NL_Wind_Offshore,1,uniform,2
NL_Solar,1,uniform,2
NL_Battery,1,uniform,2
NL_H_Demand,1,uniform,2
NL_Blue_Hydrogen,1,uniform,2
NL_PEMEC,1,uniform,2
NL_PEMFC,1,uniform,2
NL_H2Tank,1,uniform,2
BE_E_Balance,1,uniform,2
BE_E_Demand,1,uniform,2
BE_E_ENS,1,uniform,2
BE_Wind_Onshore,1,uniform,2
BE_Wind_Offshore,1,uniform,2
BE_Solar,1,uniform,2
BE_Hydro,1,uniform,2
BE_Battery,1,uniform,2
BE_H_Demand,1,uniform,2
BE_Blue_Hydrogen,1,uniform,2
BE_PEMEC,1,uniform,2
BE_PEMFC,1,uniform,2
BE_H2Tank,1,uniform,2
DE_E_Balance,1,uniform,2
DE_E_Demand,1,uniform,2
DE_E_ENS,1,uniform,2
DE_Wind_Onshore,1,uniform,2
DE_Wind_Offshore,1,uniform,2
DE_Solar,1,uniform,2
DE_Hydro,1,uniform,2
DE_Hydro_Reservoir,1,uniform,2
DE_Battery,1,uniform,2
DE_Pump_Hydro_Closed,1,uniform,2
DE_Pump_Hydro_Open,1,uniform,2
DE_H_Demand,1,uniform,2
DE_Blue_Hydrogen,1,uniform,2
DE_PEMEC,1,uniform,2
DE_PEMFC,1,uniform,2
DE_H2Tank,1,uniform,2
FR_E_Balance,1,uniform,2
FR_E_Demand,1,uniform,2
FR_E_ENS,1,uniform,2
FR_Wind_Onshore,1,uniform,2
FR_Wind_Offshore,1,uniform,2
FR_Solar,1,uniform,2
FR_Hydro,1,uniform,2
FR_Hydro_Reservoir,1,uniform,2
FR_Nuclear,1,uniform,2
FR_Battery,1,uniform,2
FR_Pump_Hydro_Closed,1,uniform,2
FR_Pump_Hydro_Open,1,uniform,2
FR_H_Demand,1,uniform,2
FR_Blue_Hydrogen,1,uniform,2
FR_PEMEC,1,uniform,2
FR_PEMFC,1,uniform,2
FR_H2Tank,1,uniform,2
DK_E_Balance,1,uniform,2
DK_E_Demand,1,uniform,2
DK_E_ENS,1,uniform,2
DK_Wind_Onshore,1,uniform,2
DK_Wind_Offshore,1,uniform,2
DK_Solar,1,uniform,2
DK_Battery,1,uniform,2
DK_H_Demand,1,uniform,2
DK_Blue_Hydrogen,1,uniform,2
DK_PEMEC,1,uniform,2
DK_PEMFC,1,uniform,2
DK_H2Tank,1,uniform,2
UK_E_Balance,1,uniform,2
UK_E_Demand,1,uniform,2
UK_E_ENS,1,uniform,2
UK_Wind_Onshore,1,uniform,2
UK_Wind_Offshore,1,uniform,2
UK_Solar,1,uniform,2
UK_Hydro,1,uniform,2
UK_Nuclear,1,uniform,2
UK_Battery,1,uniform,2
UK_Pump_Hydro_Closed,1,uniform,2
UK_PEMEC,1,uniform,2
UK_PEMFC,1,uniform,2
UK_H2Tank,1,uniform,2
IE_E_Balance,1,uniform,2
IE_E_Demand,1,uniform,2
IE_E_ENS,1,uniform,2
IE_Wind_Onshore,1,uniform,2
IE_Wind_Offshore,1,uniform,2
IE_Solar,1,uniform,2
IE_Hydro,1,uniform,2
IE_Battery,1,uniform,2
IE_Pump_Hydro_Closed,1,uniform,2
IE_PEMEC,1,uniform,2
IE_PEMFC,1,uniform,2
IE_H2Tank,1,uniform,2
CH_E_Balance,1,uniform,2
CH_E_Demand,1,uniform,2
CH_E_ENS,1,uniform,2
CH_Wind_Onshore,1,uniform,2
CH_Solar,1,uniform,2
CH_Hydro,1,uniform,2
CH_Nuclear,1,uniform,2
CH_Battery,1,uniform,2
CH_Pump_Hydro_Closed,1,uniform,2
CH_Pump_Hydro_Open,1,uniform,2
CH_PEMEC,1,uniform,2
CH_PEMFC,1,uniform,2
CH_H2Tank,1,uniform,2
AT_E_Balance,1,uniform,2
AT_E_Demand,1,uniform,2
AT_E_ENS,1,uniform,2
AT_Wind_Onshore,1,uniform,2
AT_Solar,1,uniform,2
AT_Hydro,1,uniform,2
AT_Hydro_Reservoir,1,uniform,2
AT_Battery,1,uniform,2
AT_Pump_Hydro_Closed,1,uniform,2
AT_Pump_Hydro_Open,1,uniform,2
AT_H_Demand,1,uniform,2
AT_Blue_Hydrogen,1,uniform,2
AT_PEMEC,1,uniform,2
AT_PEMFC,1,uniform,2
AT_H2Tank,1,uniform,2
LU_E_Balance,1,uniform,2
LU_E_Demand,1,uniform,2
LU_E_ENS,1,uniform,2
LU_Wind_Onshore,1,uniform,2
LU_Solar,1,uniform,2
LU_Hydro,1,uniform,2
LU_Battery,1,uniform,2
LU_Pump_Hydro_Closed,1,uniform,2
LU_H_Demand,1,uniform,2
LU_Blue_Hydrogen,1,uniform,2
LU_PEMEC,1,uniform,2
LU_PEMFC,1,uniform,2
LU_H2Tank,1,uniform,2
CZ_E_Balance,1,uniform,2
CZ_E_Demand,1,uniform,2
CZ_E_ENS,1,uniform,2
CZ_Wind_Onshore,1,uniform,2
CZ_Solar,1,uniform,2
CZ_Hydro,1,uniform,2
